nombre,valor,year
ministerio_de_educación_y_deportes_,23634976217.7,2011
"ministerio_de_planificación_federal,_inversión_pública_y_servicios",875501290.8,2011
"ministerio_de_trabajo,_empleo_y_seguridad_social_(mtess)",3599500925.7,2011
ministerio_de_educación_y_deportes_,30151281228.5,2012
"ministerio_de_planificación_federal,_inversión_pública_y_servicios",1047459428.9,2012
"ministerio_de_trabajo,_empleo_y_seguridad_social_(mtess)",635729889.2,2012
ministerio_de_educación_y_deportes_,38222736055.8,2013
"ministerio_de_planificación_federal,_inversión_pública_y_servicios",1087086915.0,2013
"ministerio_de_trabajo,_empleo_y_seguridad_social_(mtess)",4116874873.0,2013
ministerio_de_educación_y_deportes_,51542230886.9,2014
"ministerio_de_planificación_federal,_inversión_pública_y_servicios",1618171069.0,2014
"ministerio_de_trabajo,_empleo_y_seguridad_social_(mtess)",4150160762.0,2014
ministerio_de_educación_y_deportes_,69480816801.2,2015
"ministerio_de_planificación_federal,_inversión_pública_y_servicios",3530383362.0,2015
"ministerio_de_trabajo,_empleo_y_seguridad_social_(mtess)",2404775894.0,2015
